name,price,status,shipping,free_returns,items_sold
Family Guy Two-Pack (DVD),700,Brand New,349,False,
"Family Guy, Vol. 2: Season 3 [3 Discs]",300,Pre-Owned,0,False,
Family Guy Christmas Ho-Ho-Holy Crap! DVD - Brand New - Sealed!,1199,Brand New,0,False,
The Official Family Guy Drinking Game Pint Glass,299,Pre-Owned,943,False,
"CLEVELAND BROWN 6"" FAMILY GUY FIGURE Series 2 ~ Mezco ~ TV Cartoon",895,Pre-Owned,1260,False,
"Family Guy - Volume 1: Seasons 1  2 (DVD, 4-Disc Set)",73,New (Other),739,False,
"Family Guy: Season 13 (DVD, 2014) Missing Disc 3",599,Pre-Owned,0,True,
Family Guy Presents Stewie Griffin: The Untold Story (DVD),300,Pre-Owned,0,False,
#33 Holiday Halloween Christmas DVD LOT PICK & CHOOSE $4 Flat Combined Shipping,200,Pre-Owned,400,False,
Buffalo Bills X Family Guy Die Cut Stickers 3.5”X 3.5” Pop Art 90s Stewie,495,Brand New,0,False,
"Family Guy - Volume 7 - Big Fat Peter Collector's Pack, (DVD, 2009, 3-Disc Set)",1295,Pre-Owned,350,False,
Family Guy Seasons 5 DVD,450,New (Other),349,False,
Family Guy Season One trading card lot promos P1 P3 Bad Dog BD1 Inkworks 2005,99,,379,True,
"Family Guy Presents Blue Harvest (DVD, Standard Edition)",99,New (Other),349,False,
"Family Guy: Partial Terms of Endearment (DVD, 2010) w/ Slipcover",500,Pre-Owned,349,False,
"Family Guy Volume 2: Season 3 (DVD, 2000)",800,Pre-Owned,500,False,
Family Guy Volume 4: Season 4 (DVD) Disc 3,300,Pre-Owned,0,False,
Family Guy Volumes 1-3 DVD Bundle Collection,299,Pre-Owned,416,False,
"Family Guy, Vol. 5 (3 Discs) (dvd_video)",300,Pre-Owned,0,False,
Family Guy: Volume Four (DVD),300,Pre-Owned,0,False,
Family Guy: Partial Terms of Endearment (DVD),1125,Pre-Owned,399,True,
Family Guy - The Freakin' Sweet Collection  Seth MacFarlane,539,Pre-Owned,375,True,
Brian Family Guy Funko #32 NoBox,2000,Pre-Owned,0,False,
"Family Guy: Part 3: Seasons 10-14 [New DVD] Dolby, Subtitled, Widescreen",2470,Brand New,0,True,
"FAMILY GUY VOLUME THREE - 3-Disc Set - Peter, Lois, Meg, Chris, Stewie, Brian",75,New (Other),450,False,
"DVD: ""Family Guy: Vol. 2, Season 3"" full screen DVD (22 episodes)",400,New (Other),425,False,
"DVD Sale Pick Choose Your Movies Lot Over 300 Top A+ Titles, BUY MORE AND SAVE",100,Pre-Owned,395,True,
Family Guy: Season 11 [DVD][Region A/1] NEW,999,Brand New,0,False,
"Family Guy Presents Stewie Griffin: The Untold Story (DVD, 2005, Unrated)",99,Pre-Owned,349,False,
Family Guy: Part 3: Seasons 10-14 (DVD),1999,Pre-Owned,349,False,
"Family Guy: Part 2: Volumes 6-10 [New DVD] Full Frame, Subtitled, Dolby",2414,Brand New,0,True,
Family Guy Season 14,886,Pre-Owned,0,False,
"Family Guy, Volume Seven DVD",529,Pre-Owned,0,True,
Family Guy DVD Presents Blue Harvest 2009 Standard Edition Partially Sealed,325,New (Other),349,False,
Family Guy - Volume 4 (DVD),525,Pre-Owned,0,False,
"Family Guy: Volume 7 (3DVD, 2009) w/ Slipcover",500,Pre-Owned,349,False,
"Family Guy: Season 14 (DVD, 2015)",1000,Pre-Owned,349,False,
Family Guy: Season Fifteen 15 Out Of Print 3-Disc DVD,2495,Pre-Owned,400,False,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",99,Pre-Owned,349,True,
Family Guy - Volume Five DVD Set NEW SEALED LOW SHIP!!,299,Brand New,416,False,
Build Your Dvd Collection U PICK $.99 DVD MOVIE cheap!,99,Pre-Owned,99,False,
Family Guy: It's A Trap! [Blu-ray/ DVD + Digital Copy],599,Pre-Owned,0,True,
"Family Guy - Volume 5 (DVD, 2007, 3-Disc Set)",99,Pre-Owned,349,True,
"Family Guy: Blue Harvest (DVD, Box Set)",499,Pre-Owned,416,False,
FAMILY GUY SEASON ONE DISC ONE  EPISODES 1 - 7  (dvd) **********disc only******,249,Pre-Owned,0,False,
"Family Guy: Season 13 (3DVD, 2014) w/ Slipcover",1000,Pre-Owned,349,False,
Family Guy: It's A Trap! B1,499,Pre-Owned,0,False,
"Family Guy Volume 2: Season 3 (DVD, 2000)",605,Brand New,0,False,
Family Guy: Blue Harvest - DVD - VERY GOOD,595,Pre-Owned,0,False,
Family Guy South Park Futurama Simpson Movie Lot,999,Pre-Owned,795,False,
Family Guy FYC Emmy Consideration Promo DVD 2 Episodes Screener 2013,1195,Pre-Owned,0,False,
Family Guy Blue Harvest (DVD),310,Pre-Owned,349,False,
"Family Guy: Season 11, Volume 12",649,Pre-Owned,0,False,
"Family Guy: Season 12 (3DVD, 2014) w/ Slipcover",1000,Pre-Owned,349,False,
