name,price,status,shipping,free_returns,items_sold
"Nocturnes by Ishiguro, Kazuo Paperback Book The Fast Free Shipping",664,Pre-Owned,0,False,
The Unconsoled Paperback Kazuo Ishiguro,593,Pre-Owned,0,True,
"A Pale View of Hills by Kazuo Ishiguro (1983, UK-B Format Paperback)",420,Pre-Owned,416,False,
Never Let Me Go by Kazuo Ishiguro: New,1920,Brand New,449,False,
New ListingWhen We Were Orphans - Paperback By Kazuo Ishiguro - VERY GOOD,595,Pre-Owned,349,False,
"Nunca me abandones by Ishiguro, Kazuo Paperback / softback Book The Fast Free",1189,Pre-Owned,0,False,
"The Unconsoled by Ishiguro, Kazuo",500,Pre-Owned,0,True,
"Never Let Me Go, Ishiguro, Kazuo",769,Pre-Owned,0,False,
"The Buried Giant - Paperback By Ishiguro, Kazuo - ACCEPTABLE",439,Pre-Owned,0,True,
Klara and the Sun by Kazuo Ishiguro: Used,964,Pre-Owned,449,False,0
"Klara and the Sun by Ishiguro, Kazuo Book The Fast Free Shipping",1021,Pre-Owned,0,False,
"Never Let Me Go - Paperback By Ishiguro, Kazuo - GOOD",399,Pre-Owned,349,False,
"When We Were Orphans: A Novel by Ishiguro, Kazuo",500,Pre-Owned,0,True,
"The Unconsoled by Ishiguro, Kazuo",600,Pre-Owned,0,True,
"Los Restos del D?a / The Remains of the Day by Ishiguro, Kazuo",700,New (Other),0,True,
"When We Were Orphans by Ishiguro, Kazuo",500,Pre-Owned,0,True,
"When We Were Orphans by Ishiguro, Kazuo",649,Pre-Owned,0,False,0
"Nocturnes: Five Stories of Music and Nightfall - Ishiguro, Kazuo - Acceptable",447,Pre-Owned,0,False,
Never Let Me Go by Kazuo Ishiguro First Edition 1st Printing 2005 Hardcover,3499,Pre-Owned,550,False,
Klara and the Sun by Ishiguro Kazuo   Paperback,1019,Pre-Owned,416,True,
THE REMAINS OF THE DAY [UNABRIDGED By Kazuo Ishiguro,600,Pre-Owned,500,False,
"Never Let Me Go, Kazuo Ishiguro, Very Good Book",5025,Pre-Owned,0,False,
BRAND NEW Klara and The Sun by Kazuo Ishiguro,999,Brand New,1499,False,
Klara and the Sun A novel Vintage International,2647,Brand New,0,True,
"Die Ungetrösteten, Ishiguro, Kazuo",1169,Pre-Owned,0,False,
"When We Were Orphans - Hardcover By Ishiguro, Kazuo - GOOD",409,Pre-Owned,0,True,
Quand Nous Etions Orphelins (French Edition) By Kazuo Ishiguro ,350,Pre-Owned,349,False,
"The Unconsoled - Kazuo Ishiguro (1st US edition, 1st print HC)",3599,Pre-Owned,483,False,
"Never Let Me Go, Ishiguro, Kazuo",769,Pre-Owned,0,False,
"Klara And The Sun SIGNED Kazuo Ishiguro ( 2021,HC,1st) Never Read, Like New.",6500,New (Other),416,False,
An Artist of the Floating World by Kazuo  Ishiguro Book,769,Pre-Owned,1809,False,
The Remains of the Day by Kazuo Ishiguro First Printing American Paperback,2500,Pre-Owned,416,False,
"Klara and The Sun by Kazuo Ishiguro (2021, Hardcover)",1359,Pre-Owned,349,True,
