name,price,status,shipping,free_returns,items_sold
Loyal Subjects Fox Animation Figure Brian Griffin Pink Chase 1/96 Family Guy US,3994,Brand New,0,True,0
"Family Guy Stewie Griffin 7"" Plush Teddy Bear Blue Pajamas Toy Doll Nanco 2008",1969,Pre-Owned,610,True,
Peter Griffin Family Guy Mezco Fox 2006 Action Figure,999,Pre-Owned,560,False,
Family Guy As Seen On TV Evil Monkey Figure w/ Create-A-Figure Death Part,699,Pre-Owned,675,False,
"NWT Super Mario Bros Shy Guy 9"" and Goomba 10"" Plush Nintendo Good Stuff Plushie",1599,Brand New,1260,False,
Loyal Subjects Action Vinyls Fox Animation Family Guy Pink H Brian Griffin,1599,Brand New,439,True,
"FAMILY GUY Peter Griffin vs Giant Chicken,Stewie's World Domination Kit NEW",1000,Brand New,550,False,
"Family Guy 11"" Evil Monkey Plush 2005 KellyToy Stuffed Animal VERY NICE",2300,Pre-Owned,500,False,
Grim Reaper Death Sealed Scythe Accessory Kidrobot Family Guy Series 1 Lot,3600,Pre-Owned,1125,False,
"Family Guy, Stewie Griffin Box Set Action figures MezcoToyz 2010 MIB Sealed New",2799,Brand New,1260,False,0
Mezco Family Guy Series 3 JOE SWANSON Action Figure 2005,6500,Brand New,1710,False,
"Family Guy 6"" figures mezco Brian with Accessories",1495,Pre-Owned,490,False,
FAMILY GUY 2005 PETER INTHE BUFF NAKED MEZCO TOY ACTION FIGURE NIB,2999,Brand New,899,True,
FAMILY GUY Brian the Dog Mini Plush Soft Toy Stuffed Animal 2005 Fox NANCO,900,Pre-Owned,545,False,
"""FAMILY GUY"" - Bi-fold Wallet -  - 2006 - NEW WITH TAGS Q4",299,Brand New,530,False,
2006 Mezco Family Guy Herbert Convention Exclusive NIB,11200,Brand New,1075,False,
Family Guy Series 3 MAYOR WEST Action Figure  Mezco 2005 Adam Loose,999,Pre-Owned,0,False,
"New Listing20 "" Family Guy Glenn Quagmire Plush Toy Factory Family Guy Stuffed",1965,Pre-Owned,2087,False,
"2007 MEZCO FAMILY GUY SERIES #8 ""EXCERCISE CHRIS"" ACTION FIGURE MOC",1999,Brand New,1125,False,
RARE Family Guy Lois Griffin Plush Toy Factory Hard To Find 20th Century Fox,3250,Pre-Owned,610,False,
The Loyal Subjects Fox Animation Family Guy Brian,1200,Brand New,455,False,
2005 Family Guy Quagmire Series 2 Action Figure Mezco,5000,Brand New,1260,False,
